Entity,Code,Year,Life expectancy at birth (years),GDP per capita ($),Population
Afghanistan,AFG,2015,63.377,1928,34414000
Africa,,2015,61.607,4684,1182439040
Albania,ALB,2015,78.025,10947,2891000
Algeria,DZA,2015,76.09,13024,39728000
American Samoa,ASM,2015,73.588,,56000
Americas,,2015,76.44286453,,
Andorra,AND,2015,83.073,,78000
Angola,AGO,2015,59.398,8631,27884000
Anguilla,AIA,2015,81.332,,14000
Antigua and Barbuda,ATG,2015,76.483,,94000
Argentina,ARG,2015,76.068,19316,43075000
Armenia,ARM,2015,74.467,9552,2926000
Aruba,ABW,2015,75.725,,104000
Asia,,2015,72.62,,4433475072
Australia,AUS,2015,82.794,44336,23932000
Austria,AUT,2015,81.182,44845,8679000
Azerbaijan,AZE,2015,72.266,16045,9623000
Bahamas,BHS,2015,73.088,,374000
Bahrain,BHR,2015,76.762,39197,1372000
Bangladesh,BGD,2015,71.514,3068,156256000
Barbados,BRB,2015,78.801,10030,285000
Belarus,BLR,2015,73.652,19306,9439000
Belgium,BEL,2015,80.969,39531,11288000
Belize,BLZ,2015,74.034,,361000
Benin,BEN,2015,60.608,2141,10576000
Bermuda,BMU,2015,81.999,,64000
Bhutan,BTN,2015,70.419,,728000
Bolivia,BOL,2015,70.277,5969,10870000
Bonaire Sint Eustatius and Saba,BES,2015,77.033,,25000
Bosnia and Herzegovina,BIH,2015,76.865,10305,3429000
Botswana,BWA,2015,67.338,14626,2121000
Brazil,BRA,2015,74.994,15377,204472000
British Virgin Islands,VGB,2015,78.411,,29000
Brunei,BRN,2015,75.318,,415000
Bulgaria,BGR,2015,74.584,17254,7200000
Burkina Faso,BFA,2015,59.919,1527,18111000
Burundi,BDI,2015,60.123,723,10160000
Cambodia,KHM,2015,68.637,3139,15521000
Cameroon,CMR,2015,57.583,2754,23298000
Canada,CAN,2015,82.026,42844,36027000
Cape Verde,CPV,2015,72.117,6358,525000
Cayman Islands,CYM,2015,83.324,,62000
Central African Republic,CAF,2015,50.881,605,4493000
Chad,TCD,2015,53.137,2387,14111000
Channel Islands,OWID_CIS,2015,82.429,,165000
Chile,CHL,2015,79.646,21340,17969000
China,CHN,2015,75.928,12002,1406848000
Colombia,COL,2015,76.531,12858,47521000
Comoros,COM,2015,63.471,1706,777000
Congo,COG,2015,63.097,4526,4856000
Cook Islands,COK,2015,75.409,,18000
Costa Rica,CRI,2015,79.565,13568,4848000
Cote d'Ivoire,CIV,2015,56.065,3473,23226000
Croatia,HRV,2015,77.892,20905,4233000
Cuba,CUB,2015,78.561,7889,11325000
Curacao,CUW,2015,78.268,,160000
Cyprus,CYP,2015,80.35,25903,1161000
Czech Republic,CZE,2015,78.692,30410,10601000
Czechoslovakia,OWID_CZS,2015,,29361,
Democratic Republic of Congo,COD,2015,59.254,836,76245000
Denmark,DNK,2015,80.475,44939,5689000
Djibouti,DJI,2015,64.136,3258,914000
Dominica,DMA,2015,74.194,9537,71000
Dominican Republic,DOM,2015,73.241,13382,10282000
East Asia,,2015,,9998,
Eastern Europe,,2015,,19187,
Ecuador,ECU,2015,76.143,10914,16212000
Egypt,EGY,2015,71.302,11236,92443000
El Salvador,SLV,2015,72.412,8163,6325000
Equatorial Guinea,GNQ,2015,57.359,35743,1169000
Eritrea,ERI,2015,64.664,,3343000
Estonia,EST,2015,77.783,25790,1315000
Ethiopia,ETH,2015,65.048,1576,100835000
Europe,,2015,77.839,,743059008
Faeroe Islands,FRO,2015,80.13,,48000
Falkland Islands,FLK,2015,80.876,,3000
Fiji,FJI,2015,67.103,,869000
Finland,FIN,2015,81.196,37920,5481000
Former USSR,,2015,,17953,
Former Yugoslavia,,2015,,15888,
France,FRA,2015,82.224,38448,64453000
French Guiana,GUF,2015,79.555,,261000
French Polynesia,PYF,2015,76.787,,273000
Gabon,GAB,2015,64.913,14315,1948000
Gambia,GMB,2015,60.91,1948,2086000
Georgia,GEO,2015,72.973,10198,4024000
Germany,DEU,2015,80.77,46426,81787000
Ghana,GHA,2015,62.772,3687,27849000
Gibraltar,GIB,2015,79.351,,34000
Greece,GRC,2015,81.548,24545,10660000
Greenland,GRL,2015,71.407,,56000
Grenada,GRD,2015,72.445,,110000
Guadeloupe,GLP,2015,81.22,,400000
Guam,GUM,2015,79.144,,162000
Guatemala,GTM,2015,73.25,7055,16252000
Guinea,GIN,2015,59.598,1606,11432000
Guinea-Bissau,GNB,2015,56.959,1313,1737000
Guyana,GUY,2015,69.262,,767000
Haiti,HTI,2015,62.485,1649,10696000
Honduras,HND,2015,74.495,4352,9113000
Hong Kong,HKG,2015,84.043,46504,7186000
Hungary,HUN,2015,76.006,23539,9778000
Iceland,ISL,2015,82.481,40572,330000
India,IND,2015,68.607,5639,1310151936
Indonesia,IDN,2015,70.768,10099,258383008
Iran,IRN,2015,75.796,15039,78492000
Iraq,IRQ,2015,69.929,13087,35572000
Ireland,IRL,2015,81.344,53372,4652000
Isle of Man,IMN,2015,80.82,,83000
Israel,ISR,2015,82.34,31729,7978000
Italy,ITA,2015,82.828,34673,60578000
Jamaica,JAM,2015,74.098,7115,2891000
Japan,JPN,2015,83.879,36030,127985000
Jordan,JOR,2015,74.078,11738,9267000
Kazakhstan,KAZ,2015,71.319,23408,17572000
Kenya,KEN,2015,64.798,3090,47878000
Kiribati,KIR,2015,67.291,,111000
Kuwait,KWT,2015,75.13,68127,3836000
Kyrgyzstan,KGZ,2015,70.876,5910,5959000
Laos,LAO,2015,66.546,6001,6741000
Latin America,,2015,,14400,623934016
Latin America and the Caribbean,,2015,74.852,,
Latvia,LVA,2015,74.733,22724,1998000
Lebanon,LBN,2015,78.768,12665,6533000
Lesotho,LSO,2015,51.038,2954,2059000
Liberia,LBR,2015,62.269,798,4472000
Libya,LBY,2015,72.121,8514,6418000
Liechtenstein,LIE,2015,82.039,,37000
Lithuania,LTU,2015,74.923,25279,2932000
Luxembourg,LUX,2015,81.636,67804,567000
Macao,MAC,2015,83.707,,602000
Macedonia,MKD,2015,75.406,13586,2079000
Madagascar,MDG,2015,65.539,1288,24234000
Malawi,MWI,2015,61.953,960,16745000
Malaysia,MYS,2015,75.461,22075,30271000
Maldives,MDV,2015,77.691,,455000
Mali,MLI,2015,57.509,1563,17439000
Malta,MLT,2015,81.896,26577,434000
Marshall Islands,MHL,2015,72.789,,57000
Martinique,MTQ,2015,81.753,,378000
Mauritania,MRT,2015,63.936,3323,4046000
Mauritius,MUS,2015,74.5,18259,1259000
Mayotte,MYT,2015,79.408,,240000
Mexico,MEX,2015,74.904,15766,121858000
Micronesia (country),FSM,2015,67.315,,109000
Moldova,MDA,2015,71.478,5569,4071000
Monaco,MCO,2015,85.739,,38000
Mongolia,MNG,2015,69.111,11139,2998000
Montenegro,MNE,2015,76.452,17738,627000
Montserrat,MSR,2015,74.339,,5000
Morocco,MAR,2015,75.726,7577,34664000
Mozambique,MOZ,2015,57.206,1277,27042000
Myanmar,MMR,2015,65.81,5834,52681000
Namibia,NAM,2015,62.119,11850,2315000
Nauru,NRU,2015,59.758,,10000
Nepal,NPL,2015,69.515,2607,27015000
